,region_name,indicator,year,value
804,Minnesota,ABL,1990,
805,Minnesota,ABM,1990,
806,Minnesota,ABN,1990,
807,Minnesota,ABO,1990,
808,Minnesota,ABP,1990,
809,Minnesota,ABQ,1990,209.323
810,Minnesota,ABR,1990,95.3106
811,Minnesota,ABS,1990,2.1869
812,Minnesota,ABT,1990,
813,Minnesota,ABU,1990,
814,Minnesota,ABV,1990,756374.0
815,Minnesota,ABW,1990,699001.0
816,Minnesota,ABX,1990,
817,Minnesota,ABY,1990,
818,Minnesota,ABZ,1990,49087.0
819,Minnesota,ACA,1990,4970.5196369999985
820,Minnesota,ACB,1990,
821,Minnesota,ACD,1990,
