STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,TOTAL_KNOWN_EXPENDITURE,UNKNOWN_EXPENDITURE,REV_PER_ENROLL
Wyoming,1995,100314.0,634237,42456,303913,287868,642935,357039,198669,21975.0,48915,626598.0,16337.0,6.3225172956915285
Alabama,1996,735912.0,3365113,334858,2138717,891538,3572283,1987018,935115,322883.0,286699,3531715.0,40568.0,4.57271113937536
Alaska,1996,126189.0,1120346,123505,706116,290725,1240031,636959,365085,38996.0,179297,1220337.0,19694.0,8.878317444468218
Arizona,1996,764681.0,4143304,378917,1798363,1966024,4391555,1860007,1193260,220650.0,877190,4151107.0,240448.0,5.418343073778478
Arkansas,1996,452907.0,2183384,192152,1296247,694985,2297381,1264275,636106,127007.0,203555,2230943.0,66438.0,4.820821934745985
California,1996,5460484.0,31282981,2603882,17061474,11617625,31561692,16880730,9222569,2362407.0,2580639,31046345.0,515347.0,5.72897585635266
Colorado,1996,655679.0,3891203,194998,1664676,2031529,4075165,2052264,1127563,143767.0,588209,3911803.0,163362.0,5.934615871485895
Connecticut,1996,499815.0,4686025,162218,1703171,2820636,4538234,2701637,1296119,149792.0,149327,4296875.0,241359.0,9.375518942008544
Delaware,1996,108461.0,860410,48796,567123,244491,823530,447461,245924,34748.0,72077,800210.0,23320.0,7.932897539207642
District of Columbia,1996,79802.0,678874,57870,0,621004,703245,334893,312944,39956.0,15452,703245.0,0.0,8.506979774942984
Florida,1996,2175352.0,13684457,942159,6671487,6070811,13936240,6380643,4230355,992115.0,2042385,13645498.0,290742.0,6.290686288931631
Georgia,1996,1311126.0,7764687,516518,4086584,3161585,7934236,4118122,2125775,509934.0,1042930,7796761.0,137475.0,5.922151646752486
Hawaii,1996,187104.0,1199019,91391,1079097,28531,1231550,671105,328131,103048.0,129266,1231550.0,0.0,6.4083023345305286
Idaho,1996,243097.0,1134052,80486,718218,335348,1198223,642377,327291,47750.0,157468,1174886.0,23337.0,4.665018490561381
Illinois,1996,1924970.0,12732129,728400,4191483,7812246,12423100,6303563,3960659,474624.0,1112689,11851535.0,571565.0,6.614196065393227
Indiana,1996,975455.0,6422662,306715,3298257,2817690,6644035,3293900,1847383,302283.0,616866,6060432.0,583603.0,6.584272980301501
Iowa,1996,502343.0,3258040,147878,1486426,1623736,3284185,1679091,931857,134624.0,242065,2987637.0,296548.0,6.485688065724017
Kansas,1996,463008.0,2914544,140242,1658774,1115528,3007653,1468081,906796,169091.0,318829,2862797.0,144856.0,6.294802681595135
Kentucky,1996,639531.0,3622788,305059,2272684,1045045,3826435,1970377,1139539,228647.0,413638,3752201.0,74234.0,5.664757455072546
Louisiana,1996,796087.0,3879633,468363,1978056,1433214,3815375,2078321,1117936,299287.0,236616,3732160.0,83215.0,4.873378160929647
Maine,1996,213601.0,1485138,78626,647382,759130,1465093,857253,398040,63537.0,62645,1381475.0,83618.0,6.952860707580957
Maryland,1996,805544.0,5688918,271806,2163187,3253925,5825606,3197895,1856055,251330.0,449601,5754881.0,70725.0,7.0622064095815995
Massachusetts,1996,912330.0,7129757,302167,3028094,3799496,7479576,4171772,1953199,221882.0,360126,6706979.0,772597.0,7.814888253154012
Michigan,1996,1631131.0,13012080,648922,8462687,3900471,13071893,6452165,4205956,691888.0,919074,12269083.0,802810.0,7.977335971175829
Minnesota,1996,827418.0,6101416,241241,3435468,2424707,6423285,3204906,1522656,551475.0,762106,6041143.0,382142.0,7.374043107594952
Mississippi,1996,503602.0,2241561,295014,1285429,661118,2268726,1238512,599427,166353.0,231093,2235385.0,33341.0,4.451056588337615
Missouri,1996,873867.0,5251014,324566,2536393,2390055,5277785,2745318,1521493,283616.0,568575,5119002.0,158783.0,6.008939575473155
Montana,1996,165390.0,944623,90354,452250,402019,924259,538091,289907,37370.0,48074,913442.0,10817.0,5.711487998065179
Nebraska,1996,289251.0,1909834,100886,574359,1234589,1940808,1067391,497288,71038.0,247543,1883260.0,57548.0,6.602687631157714
Nevada,1996,265041.0,1551169,67278,997400,486491,1608989,767237,483238,53033.0,229949,1533457.0,75532.0,5.852562433736667
New Hampshire,1996,191004.0,1269380,40622,84837,1143921,1295106,725549,340457,42174.0,97166,1205346.0,89760.0,6.645829406713996
New Jersey,1996,1193928.0,12389781,408872,4589725,7391184,12469216,6636622,4099193,469558.0,753213,11958586.0,510630.0,10.377326773473778
New Mexico,1996,329661.0,1750519,215525,1281567,253427,1642517,798365,519816,81877.0,218014,1618072.0,24445.0,5.310057907972129
New York,1996,2788343.0,26026366,1510447,10284155,14231764,26974514,15973623,6953428,942356.0,1835923,25705330.0,1269184.0,9.333990115276348
North Carolina,1996,1181600.0,6516400,443121,3971818,2101461,6517111,3527936,1780725,402269.0,687268,6398198.0,118913.0,5.514895057549086
North Dakota,1996,119102.0,655971,69370,267306,319295,657809,338326,169545,52456.0,52160,612487.0,45322.0,5.507640509815117
Ohio,1996,1837628.0,12172778,704629,4831397,6636752,11935582,6291682,4046180,532065.0,843253,11713180.0,222402.0,6.624179648982275
Oklahoma,1996,616436.0,3185234,278281,1856294,1050659,3195426,1640558,948125,299920.0,255103,3143706.0,51720.0,5.167177127877022
Oregon,1996,527769.0,3375710,192228,1822648,1360834,3509765,1879638,1104418,116224.0,305484,3405764.0,104001.0,6.396188483976891
Pennsylvania,1996,1764117.0,14671368,760182,5629751,8281435,15048791,7960931,4101534,580399.0,1195395,13838259.0,1210532.0,8.316550432879453
Rhode Island,1996,148977.0,1135192,57826,459171,618195,1092459,699778,321959,24931.0,20181,1066849.0,25610.0,7.619914483443753
South Carolina,1996,635678.0,3594408,287181,1870037,1437190,3493720,1820849,986157,235742.0,367884,3410632.0,83088.0,5.654447692070514
South Dakota,1996,136394.0,710728,67493,209375,433860,689818,383377,201190,32183.0,56451,673201.0,16617.0,5.210845051835125
Tennessee,1996,881749.0,4123018,340239,1967170,1815609,4284181,2363545,1143373,229847.0,460149,4196914.0,87267.0,4.67595426816475
Texas,1996,3740260.0,22241369,1613462,9834742,10793165,22401797,11427564,6131290,1174475.0,2667181,21400510.0,1001287.0,5.946476715522451
Utah,1996,474907.0,2035726,134703,1197910,703113,2150719,1132806,471430,153581.0,342609,2100426.0,50293.0,4.2865782142608975
Vermont,1996,101064.0,965238,36693,215657,712888,975817,424562,219243,23167.0,56478,723450.0,252367.0,9.550759914509618
Virginia,1996,1079854.0,6674519,361726,2548036,3764757,6903384,3601237,2045400,347988.0,721139,6715764.0,187620.0,6.18094575748203
Washington,1996,956572.0,6354593,366716,4288899,1698978,6578388,3222598,1927517,280214.0,895494,6325823.0,252565.0,6.64308907222875
West Virginia,1996,306451.0,1958647,158572,1222505,577570,1936848,1131846,556873,130467.0,101350,1920536.0,16312.0,6.39138720382704
Wisconsin,1996,869930.0,6342623,270455,2869875,3202293,6521058,3567663,1872074,212389.0,617334,6269460.0,251598.0,7.290957893163818
Wyoming,1996,99859.0,664057,41007,339629,283421,676305,360100,200228,21910.0,78444,660682.0,15623.0,6.649946424458486
Alabama,1997,737386.0,3981788,376200,2498847,1106741,3963624,2095904,1075352,323955.0,420070,3915281.0,48343.0,5.399869267927517
Alaska,1997,128143.0,1131950,145563,692364,294023,1237103,651935,372788,40973.0,152330,1218026.0,19077.0,8.833490709597871
Arizona,1997,783552.0,4343262,405291,1907516,2030455,4432360,1977550,1252277,265183.0,678793,4173803.0,258557.0,5.543042452830188
Arkansas,1997,457349.0,2355859,218137,1387107,750615,2379496,1291727,667439,158337.0,192204,2309707.0,69789.0,5.151118729897736
California,1997,5595836.0,35614934,2850766,20560730,12203438,33862281,18160435,10040400,1792979.0,3088674,33082488.0,779793.0,6.364542134544329
Colorado,1997,672634.0,4133275,205038,1784304,2143933,4398196,2188731,1205308,154175.0,678631,4226845.0,171351.0,6.144909415819004
Connecticut,1997,507838.0,4788489,158453,1719703,2910333,4642835,2709106,1368262,164857.0,194220,4436445.0,206390.0,9.429166387706315
Delaware,1997,110245.0,898926,56722,575855,266349,889631,486550,265674,39021.0,73946,865191.0,24440.0,8.153893600616808
District of Columbia,1997,78648.0,711625,73177,0,638448,686059,337401,272058,23494.0,53106,686059.0,0.0,9.048227545519275
Florida,1997,2241298.0,14363709,992226,7022561,6348922,14564750,6725833,4370182,1040190.0,2111449,14247654.0,317096.0,6.408656501723555
Georgia,1997,1346761.0,8248199,534963,4471781,3241455,8483477,4504165,2274539,485635.0,1056516,8320855.0,162622.0,6.124471231346913
Hawaii,1997,187653.0,1213792,95795,1088410,29587,1241375,685225,326596,105850.0,123704,1241375.0,0.0,6.46827921749186
Idaho,1997,245252.0,1200186,80754,747250,372182,1293705,680063,353044,51999.0,178703,1263809.0,29896.0,4.89368486291651
Illinois,1997,1952892.0,13929105,847818,4532935,8548352,13920593,6881301,4240388,527869.0,1598074,13247632.0,672961.0,7.132552645000338
Indiana,1997,981546.0,7885141,305125,3783388,3796628,7325086,3630591,2029513,335709.0,667028,6662841.0,662245.0,8.033389163625547
Iowa,1997,502941.0,3406582,153160,1646498,1606924,3485339,1752717,983324,142001.0,295558,3173600.0,311739.0,6.773323312277186
Kansas,1997,466368.0,3029537,152455,1682302,1194780,2949608,1476664,959322,180594.0,188156,2804736.0,144872.0,6.496022454370797
Kentucky,1997,631592.0,3842885,341901,2381664,1119320,3903139,2120583,1133417,242137.0,324367,3820504.0,82635.0,6.084442171528455
Louisiana,1997,808798.0,4106095,478008,2087903,1540184,4027228,2205048,1176952,303024.0,249895,3934919.0,92309.0,5.076786787306595
Maine,1997,213241.0,1537085,74503,669487,793095,1527663,906697,405474,59141.0,71625,1442937.0,84726.0,7.208205739046431
Maryland,1997,818583.0,6040883,292260,2343928,3404695,6217120,3359984,1893583,289761.0,592725,6136053.0,81067.0,7.379682939909576
Massachusetts,1997,928519.0,7585624,337880,3341044,3906700,7479407,4469869,2024501,239732.0,439273,7173375.0,306032.0,8.169594806352913
Michigan,1997,1684261.0,13759710,806713,8728340,4224657,14235902,6777568,4401535,649063.0,1478950,13307116.0,928786.0,8.169582980310059
Minnesota,1997,837847.0,6304977,251210,3321859,2731908,6890773,3461407,1641569,585789.0,799154,6487919.0,402854.0,7.5252128371886515
Mississippi,1997,503979.0,2274700,305516,1253204,715980,2319324,1242701,629587,167473.0,244101,2283862.0,35462.0,4.513481712531673
Missouri,1997,899750.0,5550134,336452,2695581,2518101,5527705,2906899,1589440,310482.0,552305,5359126.0,168579.0,6.16852903584329
Montana,1997,164464.0,989991,90565,465343,434083,972059,557840,303522,39685.0,59716,960763.0,11296.0,6.019499708142815
Nebraska,1997,290883.0,1994021,115783,630765,1247473,1946725,1081994,515148,77333.0,213672,1888147.0,58578.0,6.855062000873203
Nevada,1997,282131.0,1701290,68131,1089122,544037,1905940,858110,526090,57372.0,369529,1811101.0,94839.0,6.030142026221862
New Hampshire,1997,193524.0,1339186,44339,94550,1200297,1431472,758383,363154,43136.0,169477,1334150.0,97322.0,6.91999958661458
New Jersey,1997,1216721.0,12910890,427260,4799701,7683929,13242022,7106433,4171762,496433.0,938533,12713161.0,528861.0,10.611216540192862
New Mexico,1997,332849.0,1768148,231271,1287163,249714,1826524,884961,575080,90233.0,249670,1799944.0,26580.0,5.3121625722174315
New York,1997,2818497.0,26775074,1446691,10477889,14850494,28227561,16259479,7136050,933478.0,2561130,26890137.0,1337424.0,9.499770267628456
North Carolina,1997,1208695.0,6827952,471258,4258017,2098677,7007690,3704935,1869526,436235.0,848228,6858924.0,148766.0,5.649028084007959
North Dakota,1997,118433.0,683331,75316,270361,337654,679692,351542,177522,52363.0,47992,629419.0,50273.0,5.769768561127388
Ohio,1997,1844245.0,12630491,728751,5124101,6777639,12421963,6449340,4011117,636681.0,1075506,12172644.0,249319.0,6.848597122399681
Oklahoma,1997,620695.0,3413742,278209,1974522,1161011,3390894,1739943,1013092,317185.0,282622,3352842.0,38052.0,5.499870306672359
Oregon,1997,537675.0,3477420,191660,1826329,1459431,3792572,1992346,1156521,127783.0,395441,3672091.0,120481.0,6.46751290277584
Pennsylvania,1997,1781383.0,15184431,781493,5695856,8707082,15777276,8216134,4229482,598223.0,1400173,14444012.0,1333264.0,8.523956386695057
Rhode Island,1997,150433.0,1185534,63214,470876,651444,1175638,740878,336147,47227.0,21853,1146105.0,29533.0,7.880810726369879
South Carolina,1997,641925.0,3874045,303240,2027332,1543473,3921465,1958816,1110236,246858.0,509633,3825543.0,95922.0,6.035043034622425
South Dakota,1997,135601.0,747462,70568,265354,411540,711052,390953,206419,33050.0,63192,693614.0,17438.0,5.512215986607768
Tennessee,1997,886517.0,4390879,359191,2114799,1916889,4695409,2656651,1222265,248981.0,479484,4607381.0,88028.0,4.952955216876834
Texas,1997,3826366.0,23091567,1688975,9878849,11523743,23671010,12038459,6338637,1153593.0,3147085,22677774.0,993236.0,6.0348557874495015
Utah,1997,479812.0,2187279,140044,1367806,679429,2178778,1176955,504640,160763.0,282827,2125185.0,53593.0,4.558616708210716
Vermont,1997,101584.0,1022546,37631,232557,752358,1069297,461439,229220,25761.0,96165,812585.0,256712.0,10.066014332965821
Virginia,1997,1096279.0,7345090,356767,2938616,4049707,7436340,3852814,2154066,383787.0,831898,7222565.0,213775.0,6.70001888205466
Washington,1997,974504.0,6667626,388123,4443435,1836068,6792261,3356299,1986859,293323.0,897137,6533618.0,258643.0,6.842071453785721
West Virginia,1997,303441.0,2053981,170220,1286247,597514,2018185,1131889,586187,140495.0,144209,2002780.0,15405.0,6.7689633240069735
