,State,Year,Enroll,Total_Revenue,Total_Expenditure,Expenditure_Per_Pupil,Population,GDP_Per_Capita,State_Tax_Collection,Income_Per_Capita,Known_Property_Crimes,Unemployment_Rate
101,Wyoming,1993,100313.0,615130,614807,5822.381451300001,469033.0,,,20250.0,18455.0,
102,Alabama,1994,730004.0,2970223,3103266,4036.5315191,4232965.0,,218131000.0,18938.0,174589.0,
103,Alaska,1994,123868.0,1052282,1116160,8882.109888500001,600624.0,,176070000.0,25404.0,28367.0,
104,Arizona,1994,708482.0,3566586,3803379,4610.506146199999,4147560.9999999995,,303239000.0,19755.0,286534.0,
105,Arkansas,1994,312695.0,1393287,1445984,4280.276160400001,2450605.0,,184281000.0,17762.0,102805.0,
106,California,1994,4120498.0,23440845,23012688,4920.9428647,31317179.0,,4633449000.0,23535.0,1615051.0,
107,Colorado,1994,549570.0,3061865,3113755,5097.2658958,3653910.0,,146042000.0,23420.0,171263.0,
108,Connecticut,1994,479522.0,4268860,4132350,8472.612493999999,3268345.9999999995,,701942000.0,30176.0,134056.0,
109,Delaware,1994,103782.0,705798,732323,6621.43843,708416.0,,155070000.0,23973.0,15897.0,
110,District of Columbia,1994,80678.0,735720,769818,10180.329343000001,,,,,,
111,Florida,1994,2039884.0,12315950,12469073,5515.642351899999,13961798.0,,950235000.0,22504.0,970867.0,
112,Georgia,1994,1235304.0,6824191,6597359,4914.8737981,7045900.0,,521399000.0,21001.0,358983.0,
113,Hawaii,1994,181212.0,1133949,1146267,5879.073890199999,1173903.0,,68429000.0,25365.0,75672.0,
114,Idaho,1994,236774.0,949999,974781,3843.9845763999997,1135458.9999999998,,90061000.0,19141.0,42741.0,
115,Illinois,1994,1875956.0,11309803,10743708,5893.2104678000005,11804986.0,,1229274000.0,24385.0,307984.0,
116,Indiana,1994,963071.0,6121754,6061435,5630.023438600001,5745626.0,,798600000.0,21201.0,177505.0,
117,Iowa,1994,497925.0,2987394,2974072,5288.448809,2829422.0,,174285000.0,20698.0,76940.0,
118,Kansas,1994,457744.0,2700587,2643192,5659.435871399999,2569118.0,,254892000.0,21632.0,26806.0,
119,Kentucky,1994,490069.0,2491948,2392549,5107.2957181,3823215.0,,269067000.0,18544.0,107838.0,
120,Louisiana,1994,798312.0,3571864,3539581,4519.268628100001,4306500.0,,219190000.0,18682.0,232078.0,
121,Maine,1994,211731.0,1357116,1338353,6068.6054539,1237687.0,,91955000.0,19927.0,38753.0,
122,Maryland,1994,772638.0,5141505,5187683,6957.5799129,4985411.0,,320068000.0,26124.0,258988.0,
123,Massachusetts,1994,877384.0,6410757,6391131,6959.4348146,6031352.0,,1062930000.0,26603.0,198694.0,
124,Michigan,1994,1601845.0,11762546,12023935,6658.127971600001,9584481.0,,2174644000.0,22559.0,408816.0,
125,Minnesota,1994,802913.0,5262482,5581140,5719.5057689,4566028.0,,551822000.0,23084.0,179682.0,
126,Mississippi,1994,503374.0,1911579,1919812,3660.3883959,2663450.0,,167873000.0,16678.0,77482.0,
127,Missouri,1994,852324.0,4488359,4575564,5113.7795596,5281206.0,,252392000.0,21317.0,226692.0,
128,Montana,1994,163968.0,878986,878084,5597.6856703,854923.0,,68872000.0,18195.0,0.0,
129,Nebraska,1994,283962.0,1710913,1769248,5650.598553399999,1621551.0000000002,,113142000.0,21598.0,65251.0,
130,Nevada,1994,235800.0,1266549,1344245,5051.8171545000005,1456388.0,,,24357.0,81803.0,
131,New Hampshire,1994,181688.0,1145147,1119762,5723.3670667,1133053.9999999998,,144157000.0,24133.0,25889.0,
132,New Jersey,1994,651554.0,6957898,6765105,9677.2723134,7918795.999999999,,1085055000.0,28071.0,319845.0,
133,New Mexico,1994,286759.0,1342868,1223759,4260.837107599999,1653329.0,,122528000.0,18111.0,69559.0,
134,New York,1994,2702937.0,23933662,25359726,9174.7257919,,,,,718911.0,
135,North Carolina,1994,1131662.0,5648390,5740906,4894.360269,7060959.0,,737260000.0,20833.0,344930.0,
136,North Dakota,1994,118778.0,603902,621313,4673.676201100001,639762.0,,71461000.0,19456.0,16836.0,
137,Ohio,1994,1816817.0,10735756,10780138,5971.145533,11111451.0,,652543000.0,21782.0,376823.0,
138,Oklahoma,1994,316322.0,1518540,1529205,4733.8858721999995,3246119.0,,162214000.0,18509.0,160008.0,
139,Oregon,1994,518425.0,3088542,3191792,6262.9491692,3087142.0000000005,,263682000.0,21399.0,176358.0,
140,Pennsylvania,1994,1720681.0,13271564,13701725,6982.935981999999,12042545.0,,1486299000.0,22613.0,323147.0,
