,State,Year,Enroll,Total_Revenue,Total_Expenditure,Expenditure_Per_Pupil,Population,GDP_Per_Capita,State_Tax_Collection,Income_Per_Capita,Known_Property_Crimes,Unemployment_Rate
721,Delaware,2006,114371.0,1544615,1646885,12330.1568175039,859268.0,67857.0,295577000.0,41343.0,29669.0,
722,District of Columbia,2006,59616.0,1092863,1081887,17876.553798806202,,164366.0,,,,
723,Florida,2006,2663973.0,25423686,26609155,8376.427567102159,18166990.0,43926.0,2405863000.0,38738.0,720176.0,
724,Georgia,2006,1597682.0,16165924,15839227,9163.6812281859,9155813.0,47013.0,890732000.0,34665.0,329729.0,
725,Hawaii,2006,182818.0,2705532,1939968,10746.5732192918,1309731.0,50631.0,148084000.0,38648.0,52165.0,
726,Idaho,2006,258314.0,1875346,1903720,6861.39962916331,1468668.9999999998,36931.0,198302000.0,31357.0,34762.0,
727,Illinois,2006,2097585.0,22724326,22622323,10282.492112978101,12643955.0,52486.0,2400270000.0,40124.0,166510.0,
728,Indiana,2006,1026106.0,11578988,11260755,9557.70566006906,6332669.0,43279.0,1043873000.0,32747.0,196099.0,
729,Iowa,2006,483482.0,4898509,4930613,8459.61303144981,2982644.0,45908.0,284976000.0,34434.0,82353.0,
730,Kansas,2006,467279.0,4648920,4439000,9905.09588241641,2762930.9999999995,43593.0,381259000.0,35353.0,102196.0,
731,Kentucky,2006,679621.0,6002056,6112978,8974.50116277669,4219239.000000001,38856.0,1001619000.0,30440.0,95545.0,
732,Louisiana,2006,648313.0,6780668,6032182,8568.20341600295,4302665.0,49164.0,506174000.0,33276.0,151653.0,
733,Maine,2006,195675.0,2381908,2381439,11759.920087891102,1323619.0,39288.0,188016000.0,34302.0,33286.0,
734,Maryland,2006,860021.0,10697117,10585292,11718.9156345676,5627366.999999999,52697.0,846863000.0,45832.0,195476.0,
735,Massachusetts,2006,949951.0,14160242,13503621,12629.1430778444,6410084.0,59706.0,1859109000.0,48307.0,151387.0,
736,Michigan,2006,1714416.0,19714584,20626758,10598.3085533058,10036081.0,42206.0,1886168000.0,33638.0,321331.0,
737,Minnesota,2006,812040.0,9314477,9671933,9760.55024945367,5163555.0,51598.0,1071884000.0,39407.0,154913.0,
738,Mississippi,2006,493952.0,4279581,4066036,7699.345729454019,2904978.0,31513.0,316981000.0,27711.0,73528.0,
739,Missouri,2006,913765.0,8846493,8654672,8834.21348527706,5842704.000000001,42792.0,343689000.0,34144.0,223544.0,
740,Montana,2006,145259.0,1375638,1377599,9652.78273617139,952692.0,36769.0,153675000.0,31809.0,24786.0,
741,Nebraska,2006,285547.0,3107061,2867250,10169.6276783166,1772693.0,47056.0,262296000.0,35512.0,56810.0,
742,Nevada,2006,412747.0,3691628,4022979,7719.627384240601,2522658.0,54797.0,,39930.0,102036.0,
743,New Hampshire,2006,201044.0,2459051,2494247,10698.1308664079,1308389.0,48857.0,542644000.0,43763.0,23079.0,
744,New Jersey,2006,1371155.0,23915685,24177714,15361.8257436908,8661679.0,57666.0,2508428000.0,48360.0,198783.0,
745,New Mexico,2006,326761.0,3094036,3099738,8425.957658875679,1962137.0000000002,41206.0,377185000.0,30364.0,71457.0,
746,New York,2006,2787366.0,47018793,48359774,16094.7222299796,,59961.0,,,393606.0,
747,North Carolina,2006,1378306.0,11709885,11725031,7940.40601666749,8917270.0,46408.0,1308022000.0,34112.0,353947.0,
748,North Dakota,2006,98172.0,1008339,1017084,9238.977639671279,649422.0,42762.0,120113000.0,32801.0,12245.0,
749,Ohio,2006,1769200.0,20957714,20589584,10305.6500312124,11481213.0,44532.0,1105864000.0,34148.0,369154.0,
750,Oklahoma,2006,634468.0,5120286,5094695,7449.039184359391,3594090.0,39391.0,304381000.0,34019.0,128680.0,
751,Oregon,2006,556185.0,5429145,5386128,9293.7809130731,3670883.0,45752.0,438255000.0,34721.0,135396.0,
752,Pennsylvania,2006,1752402.0,23950553,24195122,11530.246818625501,12510809.0,45021.0,2116954000.0,38060.0,288517.0,
753,Rhode Island,2006,150112.0,2004709,1983578,13916.6579521011,1063096.0,48259.0,169865000.0,39106.0,27906.0,
754,South Carolina,2006,699027.0,6752813,7148083,8795.12526111505,4357847.0,37326.0,296753000.0,30577.0,184182.0,
755,South Dakota,2006,121718.0,1086433,1052315,8272.8409738997,783033.0,42825.0,61865000.0,35203.0,11010.0,
756,Tennessee,2006,953514.0,7195519,7395357,7580.37119446707,6088766.0,42177.0,928349000.0,32950.0,249672.0,
757,Texas,2006,4450272.0,41142403,43394244,8085.333965556609,23359580.0,47595.0,,35008.0,958518.0,
758,Utah,2006,496507.0,3381146,3371338,5809.377876474439,2525507.0,44004.0,348129000.0,31154.0,88142.0,
759,Vermont,2006,90850.0,1725093,1711762,13376.5985644485,622891.9999999999,41754.0,86083000.0,36944.0,14672.0,
760,Virginia,2006,1213616.0,13153845,13481336,10046.2734285639,7673725.0,52866.0,863320000.0,42654.0,188753.0,
761,Washington,2006,1031668.0,9679682,9915617,8702.478899985641,6370753.000000001,52900.0,,40357.0,284106.0,
762,West Virginia,2006,279788.0,2814536,2852607,9756.02066745162,1827912.0,34009.0,533027000.0,28406.0,44571.0,
763,Wisconsin,2006,869596.0,9855692,9779642,10483.6208862148,5577655.0,45515.0,808200000.0,36133.0,156111.0,
764,Wyoming,2006,86155.0,1150345,1146527,12414.9568270381,522666.99999999994,63428.0,,43208.0,15075.0,
765,Alabama,2007,743273.0,7069040,7196459,8742.84426195083,4672840.0,37522.0,505886000.0,32581.0,159419.0,
766,Alaska,2007,132197.0,1800616,1938755,13508.085082818101,680300.0,67228.0,813762000.0,43723.0,22501.0,
767,Arizona,2007,969875.0,8724434,8709531,8037.5237894949,6167681.0,44168.0,986170000.0,35751.0,254102.0,
768,Arkansas,2007,474532.0,4415981,4779308,9152.1611890001,2848650.0,35205.0,362983000.0,30972.0,108865.0,
769,California,2007,6288686.0,72516936,73225422,9029.382817461701,36250311.0,55154.0,11157898000.0,43692.0,1108606.0,
770,Colorado,2007,790211.0,7689014,8039146,9110.14193096343,4803867.999999999,52094.0,479445000.0,41996.0,141855.0,
771,Connecticut,2007,549230.0,8913149,8685421,14143.0725944677,3527270.0,70096.0,894317000.0,57919.0,82442.0,
772,Delaware,2007,114678.0,1694929,1705204,12612.3489543126,871748.9999999999,66344.0,302222000.0,41834.0,29216.0,
773,District of Columbia,2007,56943.0,1148358,1140506,18285.1803589055,,167668.0,,,,
774,Florida,2007,2656176.0,28898362,29849892,9055.44950069854,18367842.0,43506.0,2442516000.0,39788.0,744473.0,
775,Georgia,2007,1628409.0,17755989,17389530,9614.644955440071,9349988.000000002,46374.0,1017187000.0,35516.0,353731.0,
776,Hawaii,2007,180728.0,2985593,2199604,12364.0427228486,1315675.0,51245.0,100847000.0,40441.0,52866.0,
777,Idaho,2007,262935.0,2011951,1960472,7073.80318611259,1505105.0,37080.0,188229000.0,32580.0,33836.0,
778,Illinois,2007,2101075.0,23897153,23401917,10816.1127065144,12695866.000000002,52856.0,2936360000.0,42265.0,149018.0,
779,Indiana,2007,1034588.0,10458932,11462062,9726.89477996626,6379599.0,44145.0,987111000.0,33717.0,194325.0,
780,Iowa,2007,483122.0,5194536,5198975,8788.549151866559,2999212.0,47504.0,325077000.0,36681.0,77248.0,
781,Kansas,2007,468974.0,5038100,4823931,10279.6622771484,2783785.0,45313.0,527427000.0,37865.0,100303.0,
782,Kentucky,2007,646360.0,6226696,6351636,9303.03939962476,4256672.000000001,38159.0,988065000.0,31583.0,95834.0,
783,Louisiana,2007,662302.0,7048732,6657341,9650.44586813566,4375581.0,46878.0,752773000.0,35776.0,156823.0,
784,Maine,2007,193539.0,2538161,2501127,12627.964482585101,1327040.0,38946.0,183852000.0,35558.0,32018.0,
785,Maryland,2007,851640.0,11674965,11541225,12835.5116389871,5653408.0,52646.0,782030000.0,47365.0,192796.0,
786,Massachusetts,2007,945070.0,14407777,14315518,13262.8109065361,6431559.0,60955.0,2106898000.0,50417.0,152439.0,
787,Michigan,2007,1686473.0,20576110,19839838,10931.8843826082,10001284.0,41925.0,1786213000.0,34691.0,302975.0,
788,Minnesota,2007,810104.0,9693509,10030105,10184.783089066801,5207202.999999999,51351.0,1183816000.0,41258.0,152054.0,
789,Mississippi,2007,494135.0,4220926,4158733,7987.778263324471,2928350.0,32041.0,369205000.0,29237.0,67672.0,
790,Missouri,2007,910142.0,8908844,9245525,9265.84778201744,5887611.999999999,42561.0,390657000.0,35562.0,224731.0,
791,Montana,2007,144258.0,1474306,1442434,10243.5917732324,964706.0,38063.0,178707000.0,33803.0,25893.0,
792,Nebraska,2007,287135.0,3234014,3117931,10711.1734874905,1783440.0,47501.0,213027000.0,38082.0,53752.0,
793,Nevada,2007,422782.0,4006081,4346371,8372.110154322241,2601072.0,52818.0,,40137.0,96916.0,
794,New Hampshire,2007,198625.0,2600123,2608190,11346.6985363932,1312540.0,48618.0,595789000.0,45199.0,22180.0,
795,New Jersey,2007,1363804.0,25293076,25572112,16649.5672816976,8677885.0,57860.0,2887137000.0,50570.0,192265.0,
796,New Mexico,2007,327816.0,3272953,3279467,8875.559634401241,1990070.0,40694.0,459880000.0,31703.0,69483.0,
797,New York,2007,2754976.0,50762544,51253984,17181.5334263739,,60018.0,,,380437.0,
798,North Carolina,2007,1416028.0,13063307,12794086,8373.30364824838,9118037.0,45440.0,1565544000.0,36013.0,340935.0,
799,North Dakota,2007,96577.0,1045678,1042175,9203.33262697907,652822.0,44385.0,136424000.0,36325.0,11767.0,
800,Ohio,2007,1758645.0,22142424,21336580,10791.9204957882,11500468.0,44399.0,1125654000.0,35488.0,351632.0,
801,Oklahoma,2007,639032.0,5491931,5505213,7968.398160262471,3634349.0,39716.0,561375000.0,35133.0,127572.0,
802,Oregon,2007,559643.0,5648586,5634955,9761.84857958618,3722417.0,46504.0,405857000.0,35858.0,130210.0,
803,Pennsylvania,2007,1760451.0,25334577,25627083,11995.1650721557,12563937.0,46330.0,2286527000.0,40302.0,285445.0,
804,Rhode Island,2007,147861.0,2100679,2082332,14674.3571834553,1057315.0,47137.0,179168000.0,40912.0,27503.0,
805,South Carolina,2007,701580.0,7130274,7660995,9226.433260876558,4444110.0,37724.0,311902000.0,31956.0,188763.0,
806,South Dakota,2007,121158.0,1136570,1096568,8505.838442318242,791623.0,44017.0,76665000.0,38729.0,11947.0,
807,Tennessee,2007,978084.0,7617488,7817659,7843.2528909988905,6175727.0,41172.0,1120422000.0,34117.0,251959.0,
808,Texas,2007,4513835.0,44355326,45920825,8483.57551604655,23831982.999999996,48954.0,,36630.0,984011.0,
809,Utah,2007,504079.0,3656090,3618540,6116.11861072559,2597746.0,45293.0,398894000.0,32965.0,91940.0,
810,Vermont,2007,89329.0,1836316,1804519,14219.068189026299,623481.0,41472.0,83362000.0,38866.0,14435.0,
811,Virginia,2007,1220440.0,14176385,14700853,10912.5448420876,7751000.0,52657.0,879575000.0,44554.0,191154.0,
812,Washington,2007,1026121.0,10350748,10682397,9233.46821408715,6461587.0,55348.0,,43192.0,256841.0,
813,West Virginia,2007,281298.0,2905489,2983267,10080.479144994399,1834052.0000000002,33892.0,539136000.0,29323.0,42223.0,
814,Wisconsin,2007,870584.0,10154985,9988878,10813.0322714688,5610775.0,45464.0,923359000.0,37573.0,158731.0,
815,Wyoming,2007,85034.0,1477891,1390344,14218.7870780124,534876.0,65471.0,,44719.0,14832.0,
816,Alabama,2008,742919.0,7726213,7847387,9344.6439429893,4718206.0,36976.0,524808000.0,33430.0,178595.0,
817,Alaska,2008,130624.0,2188587,2274819,16002.1925226473,687455.0,67527.0,1297513000.0,47791.0,19789.0,
818,Arizona,2008,987332.0,9272152,9581201,8630.29223294091,6280361.999999999,41800.0,784511000.0,35717.0,245762.0,
819,Arkansas,2008,476110.0,4608356,4720720,9460.33087286359,2874554.0,34957.0,342529000.0,32141.0,108087.0,
820,California,2008,6258421.0,74626928,76618865,9672.895834518149,36604337.0,54454.0,11849097000.0,44162.0,1080744.0,
821,Colorado,2008,796824.0,8070129,8884786,9977.26384374121,4889730.0,51651.0,507986000.0,42663.0,135391.0,
822,Connecticut,2008,544417.0,9322225,9046750,15063.446636973898,3545579.0,68777.0,604413000.0,61232.0,87210.0,
823,Delaware,2008,114062.0,1694998,1746925,12789.2902843602,883873.9999999999,62535.0,308676000.0,41832.0,31385.0,
824,District of Columbia,2008,58191.0,1224312,1224785,20806.6195567525,,170687.0,,,,
825,Florida,2008,2645680.0,30001821,31219589,9711.41076300204,18527305.0,41241.0,2208600000.0,39655.0,757913.0,
826,Georgia,2008,1646010.0,18683630,19172087,10262.9362220579,9504843.0,44239.0,943042000.0,35306.0,373176.0,
827,Hawaii,2008,179897.0,2541703,2242408,12774.0515889493,1332213.0,50833.0,105294000.0,42073.0,45944.0,
828,Idaho,2008,265844.0,2151476,2001328,7402.48360030212,1534320.0,36691.0,190194000.0,33031.0,31790.0,
829,Illinois,2008,2099118.0,25431714,25696866,11624.172519011001,12747038.0,51406.0,1860000000.0,43358.0,259136.0,
830,Indiana,2008,1033329.0,11340157,10865851,9569.00846000314,6424806.0,43515.0,909494000.0,35139.0,195431.0,
831,Iowa,2008,485114.0,5496908,5495756,9127.68375523917,3016734.0000000005,46413.0,347248000.0,38787.0,71950.0,
832,Kansas,2008,467743.0,5378095,5122049,11065.089566353301,2808075.9999999995,46050.0,528011000.0,41179.0,90842.0,
833,Kentucky,2008,666019.0,6637062,6793215,9939.90942938842,4289878.0,37875.0,533630000.0,32966.0,108228.0,
834,Louisiana,2008,662971.0,7751886,7599993,10796.6636558227,4435585.999999999,46578.0,703196000.0,37796.0,160615.0,
835,Maine,2008,193058.0,2594335,2582293,13176.853500493798,1330509.0,38508.0,184515000.0,36998.0,32433.0,
836,Maryland,2008,845700.0,13098112,12739693,14121.9849360295,5684965.0,52877.0,735324000.0,49428.0,198165.0,
837,Massachusetts,2008,937677.0,14633578,14631545,14373.3753337673,6468967.0,60723.0,2179956000.0,52283.0,154174.0,
838,Michigan,2008,1661936.0,20441973,20703780,11154.731667337099,9946889.000000002,39863.0,1778317000.0,35644.0,290330.0,
839,Minnesota,2008,807929.0,10118118,10462624,10663.3758361744,5247018.0,51234.0,1040479000.0,42980.0,146725.0,
840,Mississippi,2008,493302.0,4449009,4363308,8447.99034583787,2947805.9999999995,33128.0,384643000.0,30563.0,68887.0,
841,Missouri,2008,898350.0,9335599,9900419,10006.5493154608,5923916.0,43118.0,384010000.0,37289.0,216112.0,
842,Montana,2008,142695.0,1562815,1557678,10540.5525570762,976415.0,37636.0,161713000.0,35448.0,25747.0,
843,Nebraska,2008,290912.0,3383157,3325663,11216.8066689324,1796378.0,47770.0,232852000.0,40248.0,49289.0,
844,Nevada,2008,428776.0,4338601,4881218,8890.75475205828,2653630.0,49286.0,,38815.0,89873.0,
845,New Hampshire,2008,195668.0,2715463,2715961,12280.136465301499,1315906.0,47842.0,614794000.0,46365.0,25454.0,
846,New Jersey,2008,1353191.0,25916004,26168480,18173.9408738864,8711090.0,57784.0,2819906000.0,52330.0,199028.0,
847,New Mexico,2008,329045.0,3569311,3599724,9376.509038934591,2010662.0,41207.0,403500000.0,33447.0,74680.0,
848,New York,2008,2727552.0,53147343,54870811,18423.1173058218,,58532.0,,,386860.0,
849,North Carolina,2008,1408316.0,13610326,13731201,8414.80630334865,9309449.0,45567.0,1206412000.0,37810.0,356906.0,
850,North Dakota,2008,94959.0,1104803,1085970,9636.81497629713,657569.0,48379.0,161925000.0,41213.0,12542.0,
851,Ohio,2008,1743920.0,22746589,21951104,11374.2264210126,11515391.000000002,43548.0,754633000.0,36681.0,351813.0,
852,Oklahoma,2008,641682.0,5780151,5667749,8270.45447397099,3668975.9999999995,40048.0,360065000.0,38744.0,125602.0,
853,Oregon,2008,562632.0,6107684,6407512,10487.1525316284,3768748.0,48508.0,477113000.0,37149.0,123019.0,
854,Pennsylvania,2008,1718588.0,26357235,26597713,12492.8068640841,12612285.0,46862.0,2191420000.0,41932.0,295535.0,
855,Rhode Island,2008,143812.0,2173888,2175172,15842.782168224,1055003.0,45746.0,145866000.0,41977.0,29895.0,
856,South Carolina,2008,710685.0,7743317,8167262,9823.220818696009,4528996.0,36834.0,312600000.0,32877.0,188418.0,
857,South Dakota,2008,121606.0,1190917,1172715,9046.79012926789,799123.9999999999,45516.0,69879000.0,41311.0,12608.0,
858,Tennessee,2008,966963.0,8086152,8488521,8458.6626992585,6247411.0,40949.0,1005880000.0,35322.0,250262.0,
859,Texas,2008,4581517.0,46245975,50205827,9029.25304657094,24309039.0,48282.0,,39534.0,969021.0,
860,Utah,2008,556314.0,4198001,4337917,6841.13519487173,2663029.0000000005,43375.0,394638000.0,33932.0,91430.0,
861,Vermont,2008,87919.0,1888635,1888133,15088.6189586115,624151.0,41764.0,84783000.0,40847.0,15841.0,
862,Virginia,2008,1230857.0,14768120,15236306,11410.4875582014,7833496.0,51985.0,787229000.0,45707.0,196676.0,
863,Washington,2008,1029576.0,11195224,11677666,9845.56608999241,6562231.0,54939.0,,44794.0,247172.0,
864,West Virginia,2008,281735.0,2965828,3068910,10604.7704868483,1840310.0,34679.0,538839000.0,31273.0,42366.0,
865,Wisconsin,2008,867929.0,10619354,10545964,11370.061501370601,5640996.0,44622.0,863088000.0,38873.0,155153.0,
866,Wyoming,2008,85991.0,1602514,1517325,14936.283338346599,546043.0,69182.0,,48541.0,14363.0,
867,Alabama,2009,745668.0,7186390,7815467,9385.06093271495,4757938.0,35376.0,493972000.0,32685.0,178007.0,
868,Alaska,2009,130236.0,2158970,2396412,16821.5791334953,698895.0,72204.0,632123000.0,46834.0,20538.0,
869,Arizona,2009,981303.0,8802515,9580393,8732.11693279674,6343154.0,38232.0,592187000.0,33746.0,236721.0,
870,Arkansas,2009,474423.0,4753142,5017352,9650.729762511608,2896843.0,33837.0,346215000.0,31372.0,109078.0,
871,California,2009,6234155.0,73958896,74766086,9438.85393835116,36961229.0,51733.0,9535679000.0,42224.0,1009433.0,
872,Colorado,2009,812068.0,8310673,8682489,9610.63678302322,4972195.0,49731.0,329545000.0,39838.0,134196.0,
873,Connecticut,2009,539250.0,9681268,9323053,15839.712281001699,3561807.0000000005,65574.0,444061000.0,60428.0,82625.0,
874,Delaware,2009,116804.0,1718993,1798244,12753.047072851201,891730.0,64313.0,208677000.0,41317.0,29685.0,
875,District of Columbia,2009,44331.0,801008,805362,19765.727877043602,,166178.0,,,,
876,Florida,2009,2623067.0,26494500,28867429,9451.96965349303,18652644.0,38695.0,1836800000.0,37065.0,712010.0,
877,Georgia,2009,1649598.0,17972839,19025136,10177.9082749223,9620846.0,42052.0,694717000.0,34361.0,360985.0,
878,Hawaii,2009,179478.0,2689758,2318671,13396.730089454499,1346717.0,48549.0,78597000.0,41473.0,47516.0,
879,Idaho,2009,267951.0,2182273,2078446,7567.257413649159,1554438.9999999998,34664.0,142240000.0,31436.0,31220.0,
880,Illinois,2009,2117291.0,26987426,27716187,12489.007955770401,12796778.0,49859.0,1710000000.0,40994.0,353347.0,
881,Indiana,2009,1028259.0,12999357,11218398,9946.03650926396,6459325.0,40572.0,838974000.0,34084.0,199907.0,
882,Iowa,2009,487559.0,5732319,5732186,10481.6835776457,3032870.0,45195.0,264365000.0,37365.0,70080.0,
883,Kansas,2009,470445.0,5615208,5827751,11485.44993847,2832704.0,43770.0,370889000.0,39204.0,90930.0,
884,Kentucky,2009,669858.0,6706922,6831006,10053.5051421213,4317074.000000001,36209.0,389634000.0,32304.0,108914.0,
885,Louisiana,2009,662774.0,7984550,8053960,11409.6299634347,4491648.0,46949.0,612545000.0,36284.0,172619.0,
886,Maine,2009,187372.0,2623127,2624504,13558.4217943319,1329590.0,37910.0,143086000.0,36952.0,31706.0,
887,Maryland,2009,843781.0,13147931,12757599,14611.726983498702,5730388.000000001,52515.0,749001000.0,48845.0,182295.0,
888,Massachusetts,2009,932437.0,15298022,15174814,15248.864870631201,6517613.0,59178.0,1789553000.0,51412.0,153178.0,
889,Michigan,2009,1537515.0,19616665,19992550,11492.893450868301,9901591.0,36676.0,703250000.0,33966.0,284019.0,
890,Minnesota,2009,800831.0,10353784,11193640,11602.1830074031,5281203.0,48884.0,779055000.0,40739.0,139286.0,
891,Mississippi,2009,491194.0,4392101,4552756,8609.50137045163,2958774.0000000005,31658.0,324301000.0,29801.0,87327.0,
892,Missouri,2009,893807.0,9472520,10227305,10341.4142201083,5961088.000000001,42012.0,278661000.0,36425.0,201783.0,
893,Montana,2009,141782.0,1607935,1622485,10880.7388962131,983982.0,36667.0,164255000.0,34318.0,24826.0,
894,Nebraska,2009,292161.0,3522481,3523803,11456.5191493832,1812683.0,47973.0,198442000.0,39226.0,49731.0,
895,Nevada,2009,430985.0,4442101,4577881,8864.56765128124,2684665.0,44774.0,,36280.0,80976.0,
896,New Hampshire,2009,197024.0,2816162,2757401,12912.139074083701,1316102.0,47265.0,493431000.0,45742.0,28790.0,
897,New Jersey,2009,1354912.0,26510413,26145334,17466.164541771202,8755601.999999998,55067.0,2397471000.0,50567.0,180752.0,
898,New Mexico,2009,328737.0,3703477,3945515,9727.173573247199,2036802.0000000002,40670.0,162500000.0,32523.0,74639.0,
899,New York,2009,2696688.0,55885116,57851481,19372.6329253035,,59481.0,,,377537.0,
900,North Carolina,2009,1452064.0,15410564,14868070,9167.346893289301,9449565.999999998,43160.0,901445000.0,35840.0,343707.0,
901,North Dakota,2009,94653.0,1150142,1137260,10112.9189792629,664968.0000000001,48858.0,129542000.0,40134.0,12813.0,
902,Ohio,2009,1729072.0,22779344,22427481,11904.9057877883,11528896.0,41593.0,521363000.0,35610.0,376446.0,
903,Oklahoma,2009,644549.0,6029807,5941799,8422.72630950901,3717572.0,38640.0,342762000.0,34920.0,132350.0,
904,Oregon,2009,560726.0,6158756,6715011,10672.8975351222,3808600.0,47530.0,258778000.0,35409.0,114780.0,
905,Pennsylvania,2009,1687145.0,26755585,27328680,12989.1598188214,12666858.0,45312.0,1740532000.0,40696.0,277182.0,
906,Rhode Island,2009,141521.0,2179714,2171376,16211.4926759774,1053646.0,45280.0,108497000.0,40936.0,27558.0,
907,South Carolina,2009,714290.0,7669733,8427391,10006.724848278,4589872.0,34955.0,249200000.0,31635.0,178310.0,
908,South Dakota,2009,126624.0,1258876,1273527,9456.82259716835,807067.0,45457.0,48772000.0,39524.0,14378.0,
909,Tennessee,2009,971484.0,8112895,8611178,8676.15229941865,6306019.0,39096.0,816261000.0,34635.0,237157.0,
910,Texas,2009,4647205.0,48087531,53575273,9260.16664060777,24801761.000000004,47034.0,,36695.0,995082.0,
911,Utah,2009,532433.0,4238943,4419750,7080.926368596801,2723421.0,41563.0,245880000.0,31619.0,91751.0,
912,Vermont,2009,86320.0,1683034,1661019,16073.1548714333,624817.0,40855.0,86759000.0,40221.0,15010.0,
913,Virginia,2009,1235064.0,15251481,15510318,11696.041323681102,7925937.0,51389.0,633490000.0,44232.0,194020.0,
914,Washington,2009,1035907.0,12025012,12240632,10422.698116531199,6667425.999999999,52264.0,,41844.0,245215.0,
915,West Virginia,2009,281908.0,3097212,3121728,11121.6648579684,1847775.0,34564.0,420530000.0,31412.0,46215.0,
916,Wisconsin,2009,867035.0,10991081,10880480,11773.0540411246,5669264.0,43215.0,656872000.0,38012.0,147692.0,
917,Wyoming,2009,86971.0,1675761,1658156,15658.1827765845,559851.0,66320.0,,43549.0,14243.0,
918,Alabama,2010,748889.0,7281058,7647571,9553.767228390401,4785579.000000001,35913.0,428245000.0,33696.0,168828.0,
919,Alaska,2010,131265.0,2230338,2371251,17349.7684859888,714015.0,69564.0,643068000.0,48614.0,20259.0,
920,Arizona,2010,963517.0,8828122,8812967,8756.05664640718,6407001.999999999,37935.0,413193000.0,33565.0,226802.0,
921,Arkansas,2010,474897.0,5069272,5520387,10236.7579095475,2921737.0,34671.0,385365000.0,31801.0,103820.0,
922,California,2010,6213958.0,67356719,71227111,9680.06878706866,37327690.0,51871.0,9114589000.0,43323.0,981939.0,
923,Colorado,2010,825242.0,8793676,8914338,9747.30974428948,5048029.0,49254.0,360003000.0,39930.0,135001.0,
924,Connecticut,2010,534800.0,9726922,9542108,16132.556711438101,3580171.0,64906.0,507752000.0,62121.0,78259.0,
925,Delaware,2010,117628.0,1733458,1758988,12928.135444906899,899712.0,62837.0,142417000.0,41093.0,31078.0,
926,District of Columbia,2010,43866.0,1195934,1290048,21283.1070114488,,168030.0,,,,
927,Florida,2010,2627390.0,26231141,27267009,9363.343700149258,18846461.0,38604.0,1793180000.0,38631.0,669035.0,
928,Georgia,2010,1660643.0,17839851,17834488,9855.034551867579,9712696.0,42029.0,684701000.0,34646.0,353449.0,
929,Hawaii,2010,180196.0,2564856,2215458,12886.504464124098,1363817.0,49418.0,79853000.0,41727.0,45667.0,
930,Idaho,2010,266613.0,2177999,2098737,7481.20777690495,1570912.0,34620.0,98327000.0,31728.0,31436.0,
931,Illinois,2010,2098401.0,28253620,28560306,13083.430212321598,12841196.000000002,50304.0,2686686000.0,41699.0,349064.0,
932,Indiana,2010,1026053.0,14023240,11502534,10159.9720041823,6490029.0,42996.0,597347000.0,35083.0,199274.0,
933,Iowa,2010,491255.0,5744872,5941449,10523.5491692988,3050223.0,45884.0,192138000.0,37952.0,68740.0,
934,Kansas,2010,471406.0,5454128,5979429,10858.8184672228,2858403.0,44243.0,352419000.0,39212.0,89109.0,
935,Kentucky,2010,679901.0,6881951,7092071,10376.0751743309,4347948.0,37579.0,383815000.0,33031.0,111170.0,
936,Louisiana,2010,663802.0,8091029,8125021,11491.685666501899,4544871.0,48599.0,393036000.0,37227.0,165667.0,
937,Maine,2010,187634.0,2721365,2680693,14089.783566073998,1327568.0,38352.0,175292000.0,37533.0,32900.0,
938,Maryland,2010,848252.0,13327770,13205691,14937.180101988899,5788099.0,53675.0,891392000.0,49885.0,173309.0,
939,Massachusetts,2010,929569.0,14919763,14857823,14632.438659628899,6564943.0,60808.0,1834859000.0,53058.0,154496.0,
940,Michigan,2010,1510716.0,19393461,19967017,11661.392751158899,9876731.0,38763.0,631895000.0,35206.0,271501.0,
941,Minnesota,2010,799615.0,10383935,10564774,11365.753046323502,5310710.999999999,50148.0,721742000.0,42122.0,136431.0,
942,Mississippi,2010,491651.0,4466377,4504257,8669.65529069553,2970437.0,31688.0,316331000.0,30568.0,88596.0,
943,Missouri,2010,897348.0,9587703,10139784,10467.8783731788,5995681.0,42204.0,206936000.0,36735.0,200858.0,
944,Montana,2010,141693.0,1623971,1642886,11462.938280389299,990507.0,37733.0,93225000.0,35462.0,25409.0,
945,Nebraska,2010,294948.0,3720560,3640199,11920.4954152602,1829956.0000000002,49569.0,154332000.0,40520.0,48827.0,
946,Nevada,2010,423859.0,4262471,4260869,8869.465310777421,2702797.0,44589.0,,36826.0,75004.0,
947,New Hampshire,2010,196648.0,2906573,2856965,13423.813021894199,1316700.0,48388.0,499669000.0,47154.0,29230.0,
948,New Jersey,2010,1369553.0,26676217,26736651,18059.6260130043,8803708.0,55023.0,2047474000.0,51330.0,183042.0,
949,New Mexico,2010,331436.0,3638606,3814058,9715.563457264341,2064607.0,40297.0,125100000.0,33111.0,70776.0,
950,New York,2010,2697357.0,55453300,60067253,19965.4423049264,,61267.0,,,379710.0,
951,North Carolina,2010,1444409.0,16621268,14162497,8930.378953771291,9574247.0,43141.0,1294314000.0,35275.0,329202.0,
952,North Dakota,2010,94997.0,1308214,1267426,10976.3036854929,674518.0,52185.0,88347000.0,43661.0,12010.0,
953,Ohio,2010,1669748.0,23247907,22701333,12306.75686945,11539282.0,42667.0,142318000.0,36360.0,376836.0,
954,Oklahoma,2010,653592.0,5778507,5971651,8511.413426467041,3759529.0000000005,38303.0,216400000.0,35912.0,129464.0,
