state,year,enroll,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,avg_attendence_elem_secd_schools,teachers_elem_secd_schools,high_school_completers_18_to_24,bachelor_completers_over_25,pupil_teacher_ratio,pub_high_school_graduates,expenditure_per_pupil,edu_expenditure_percent_gov_income,population,gdp_per_capita,income_per_capita,known_property_crimes,unemployment_rate
Rhode Island,2000,155351.0,1464820,81655,610999,772166,1388454,845667,421472,57496.0,30587,144422.0,10644.5,0.8128147443922551,0.256,14.782000093945198,8477.0,9646.33230394261,0.161,1050268.0,41395,30284,33323.0,0.040750000000000015
South Carolina,2000,666780.0,4690418,366587,2420494,1903337,4961392,2426139,1418846,278840.0,716110,624456.0,45380.0,0.7425321140599,0.204,14.927523137946201,31617.0,6545.46534903981,0.214,4024223.0,36070,24921,178319.0,0.038000000000000006
South Dakota,2000,130279.0,868161,105960,302405,459796,898609,443779,245481,36959.0,144296,122252.0,9397.3,0.7820959631682509,0.215,13.685101039660301,9278.0,6036.6940499950915,0.13699999999999998,755843.9999999999,35601,26808,14808.0,0.02458333333333334
Tennessee,2000,907222.0,5338531,462000,2429713,2446818,5805181,3166208,1471174,307022.0,743326,844878.0,57164.0,0.7512807999722179,0.196,15.9044328598419,41568.0,5837.213886501961,0.184,5703719.0,38892,27154,237893.0,0.03866666666666666
Texas,2000,3965971.0,28918934,2406972,12471856,14040106,31067935,15018072,8307904,1371714.0,4719976,3706550.0,274826.0,0.6864719064543761,0.232,14.771597301565402,212925.0,6771.44588363842,0.295,20944499.0,44432,28145,915304.0,0.04275
Utah,2000,477835.0,2546642,189502,1507711,849429,2478420,1355794,596620,192296.0,270172,448096.0,22008.0,0.8031377376384059,0.261,21.8777262813522,32501.0,4692.4200037492,0.269,2244502.0,38695,24138,87056.0,0.0335
Vermont,2000,99609.0,1211370,65052,711259,435059,1193813,555740,283821,29595.0,39112,98894.0,8414.0,0.830214818062253,0.294,12.128476348942199,6675.0,8799.29911824782,0.205,609618.0,36622,28904,16129.0,0.027999999999999997
Virginia,2000,1132673.0,8911426,491873,3761983,4657570,9154676,4823780,2639328,347530.0,1011384,1195123.0,86977.0,0.7936644101538641,0.295,13.163422513998,65596.0,6491.04599944943,0.181,7105816.999999999,47313,32713,188954.0,0.023000000000000003
Washington,2000,1003714.0,7620930,543966,4812796,2264168,7811937,3818756,2285577,350703.0,1048059,925696.0,51098.0,0.75283298074471,0.277,19.6635876159537,57597.0,6913.59206694206,0.239,5910512.0,50063,32839,273851.0,0.05158333333333332
West Virginia,2000,290982.0,2243151,210082,1365346,667723,2243563,1271988,672003,156775.0,129872,273277.0,20930.0,0.7820080005549521,0.14800000000000002,13.682130912565697,19437.0,7636.70992436246,0.26,1807021.0,32144,22280,39134.0,0.05483333333333334
Wisconsin,2000,877165.0,7848352,354829,4292527,3200996,8183251,4225688,2316000,265155.0,958597,825699.0,60165.0,0.788557505510068,0.224,14.617734563284301,58545.0,8298.63942429384,0.195,5373999.0,41911,29682,153788.0,0.035416666666666666
Wyoming,2000,91883.0,787323,66085,408356,312882,769923,417424,242832,24899.0,70579,86092.0,6783.0,0.7903122626044541,0.219,13.259619637328598,6462.0,7944.0335338939685,0.364,494300.0,50814,28966,14896.0,0.03883333333333333
Alabama,2001,728532.0,4832946,466150,2879636,1487160,5086045,2656393,1374265,426481.0,540284,702423.0,52860.948800000006,0.7303192958974459,0.1940306179083097,14.287931882639324,37035.640625,6052.0062427,0.24,4467634.0,33312,25001,148080.0,0.051
Alaska,2001,131985.0,1325498,229297,732985,363216,1402839,701053,479510,48312.0,150279,123316.0,7895.820800000001,0.7835315576678152,0.2555731371742112,16.919184122893864,6974.015625,9997.6865422,0.15782758620689644,633714.0,58547,33108,21300.0,0.06416666666666668
Arizona,2001,834387.0,5916342,580043,2729793,2606506,5858385,2538936,1701945,269157.0,1035457,834036.0,45858.67288927589,0.703461944054795,0.23885883834794808,20.508214250916666,38722.0420798011,6031.5973903,0.231,5273477.0,39170,26766,290893.0,0.04775000000000002
Arkansas,2001,449693.0,2974588,274406,2135281,564901,2951677,1616883,877225,153300.0,235346,422817.0,32036.57951002765,0.7552102987493596,0.16741651681449468,14.224338125735681,27327.297273371107,5941.7228272,0.182,2691571.0,31685,23854,95359.0,0.0495
California,2001,6045030.0,53288943,4280358,31374889,17633696,52082540,26641811,14127664,2570224.0,6755895,6219160.0,302556.45120000007,0.7217768497345755,0.27149950615212237,20.657935640397685,316445.76243125385,7063.1736841,0.252,34479458.0,47216,33671,1132810.0,0.05433333333333334
Colorado,2001,723696.0,5372784,292518,2222723,2857543,5727966,2709184,1844900,209212.0,672080,707202.0,42653.158477040495,0.7642730256083742,0.3316191605386005,17.24306368799165,41430.321874999994,7081.573580600001,0.201,4425687.0,51113,34931,155117.0,0.03816666666666667
Connecticut,2001,537521.0,6331569,256685,2389572,3685312,5987680,3360042,1748476,231240.0,385785,547194.0,40727.98856608467,0.8009017755734222,0.31980070889285195,13.821783508089966,32210.242315657248,10524.539387,0.136,3432835.0,61872,45272,95367.0,0.03116666666666667
Delaware,2001,112055.0,1153831,77483,754926,321422,1175717,613955,349525,45976.0,132922,107730.0,7578.270243065833,0.7796472879370174,0.2521219987729009,15.23962367461269,6460.753124999999,9720.0480787,0.234,795699.0,71155,37417,27727.0,0.034916666666666665
District of Columbia,2001,68925.0,1042261,114876,0,927385,1026146,412276,394656,35108.0,184106,62681.0,4974.783514621755,0.7981533314282775,0.4016826752471857,13.974720452893699,2889.25,13204.286796,,578228.0000000001,144598,44752,36564.0,0.06358333333333331
Florida,2001,2431884.0,18467090,1563902,9120855,7782333,18389394,8412975,5514993,1197780.0,2868679,2326142.0,137692.2433030055,0.7326509833993784,0.22930401423127977,18.181231513021295,115475.93613917497,6620.1193868,0.185,16356966.0,39445,30790,781339.0,0.04633333333333334
Georgia,2001,1444937.0,12271962,758799,5945868,5567295,11853800,6336556,3131291,566956.0,1620496,1379176.0,94182.60345007696,0.7137146665502268,0.24791435267573614,15.738326228217058,63632.31630290412,7431.123352,0.28600000000000003,8377038.0,45181,29666,331495.0,0.040333333333333325
Hawaii,2001,184360.0,1682332,140953,1511318,30061,1363164,732512,412203,105505.0,112944,170268.0,10973.067183261768,0.8717536576448845,0.266534415174174,16.834639621316164,10371.671875,7106.062144600001,0.198,1225948.0,43778,30356,62830.0,0.044583333333333336
Idaho,2001,243926.0,1571348,123520,964414,483414,1535485,853733,461819,64896.0,124442,231861.0,13830.409696939661,0.7830179333266036,0.21790453924823447,17.890283362590576,15815.509375000001,6077.311195800001,0.275,1319962.0000000002,33390,25808,37966.0,0.050916666666666666
Illinois,2001,2025249.0,18534372,1411096,6637462,10485814,19337580,9317202,5702703,664402.0,2637635,1837863.0,128807.64020781976,0.7737766405203529,0.2680352907442079,16.04542746873041,117644.0,8658.9753431,0.197,12488445.0,48849,34133,190730.0,0.053250000000000006
Indiana,2001,987854.0,9124748,444861,4590018,4089869,8991877,4364661,2553481,395908.0,832585,931886.0,59296.1464480544,0.7713250704858315,0.20060098304027932,16.849263149623926,56925.34372009569,8127.9883224,0.261,6127760.0,40138,28704,181362.0,0.04233333333333333
Iowa,2001,495080.0,4068110,239495,1943702,1884913,4211493,1994331,1171278,271596.0,405205,462276.0,34661.854460511684,0.8282677108793884,0.2163114837509667,14.23341830467592,34164.765625,7340.2988507,0.191,2931997.0000000005,38988,28276,84539.0,0.033249999999999995
Kansas,2001,468347.0,3681845,238960,2253677,1189208,3491029,1721113,1159966,220701.0,209716,413670.0,32780.898696472155,0.7954380571693924,0.2629296648636831,14.355928192758682,29401.58469281887,7680.9914337,0.29,2702162.0000000005,39745,29268,89770.0,0.04208333333333333
Kentucky,2001,643730.0,4536133,446180,2727410,1362543,4350588,2467964,1372283,254444.0,156395,566451.0,40155.611043117606,0.7653170902484104,0.17637371921751258,16.734748799174994,36908.83744930475,7173.709013500002,0.2,4068132.0,35497,25535,54357.0,0.051583333333333335
Louisiana,2001,737223.0,4982369,577645,2425436,1979288,4939894,2654239,1457593,316925.0,409235,680122.0,47350.6624,0.7308531780894901,0.19196986332460403,15.467154781976914,38318.03775734996,6552.8790007,0.197,4477875.0,41302,25290,197321.0,0.05741666666666668
Maine,2001,207171.0,1914551,112074,812384,990093,1958646,1118171,513216,79883.0,149225,190477.0,16620.000000000007,0.7998551679306114,0.22952022576417583,12.365704001084868,12738.253125,8878.908623000001,0.204,1285692.0,36995,28661,33055.0,0.03825
Maryland,2001,852920.0,7864290,467001,2928704,4468585,7981362,4172982,2366854,369293.0,813068,807331.0,53035.29983050856,0.8047832552720348,0.31711695813609875,16.21023049632436,49079.14890637887,8833.4624562,0.166,5374691.0,46792,37025,223650.0,0.04008333333333334
Massachusetts,2001,965934.0,10613329,490388,4328575,5794366,10572138,6135199,2711995,338708.0,944333,921266.0,70083.21371428572,0.8334772352460975,0.3401544806671013,14.017542094514944,54296.81333830104,10072.966681999998,0.16699999999999998,6397634.0,55114,39944,162860.0,0.03725
Michigan,2001,1705088.0,16772419,1090642,10480592,5201185,17573761,8136476,5430837,795607.0,2007947,1588300.0,97537.54400000001,0.774068463613427,0.222618455917503,17.748914985031995,97741.7279054266,9030.5956665,0.322,9991120.0,40883,30786,346487.0,0.05175
Minnesota,2001,836386.0,7836617,350797,4694722,2791098,8221636,3981906,2112589,569072.0,964810,818160.0,52310.2,0.8025762649220121,0.2791742386880032,16.196279906665932,58368.6875,7960.4389359,0.241,4982795.999999999,47177,33204,158537.0,0.037750000000000006
Mississippi,2001,496513.0,2823151,385896,1519788,917467,2930393,1548979,847817,190656.0,282202,461951.0,31021.608801789313,0.723436254175649,0.173835364866295,16.04588532687023,24154.93489861155,5534.7565762,0.221,2852994.0,28856,22752,85793.0,0.05533333333333335
Missouri,2001,911673.0,7081783,464119,3272289,3345375,7100685,3659465,2100767,402233.0,715516,843148.0,65091.72149463161,0.7722513628638452,0.2197873326262674,13.99487850985632,55014.040624999994,7264.5729623,0.244,5641142.0,41346,28733,224735.0,0.04591666666666668
Montana,2001,154700.0,1139959,128783,537866,473310,1129098,638218,354844,44456.0,73732,136498.0,10390.504,0.7862448848577632,0.24847359223838753,14.68311118704179,10836.9215636121,7484.0189371000015,0.193,906961.0,32272,24316,18810.0,0.04541666666666667
Nebraska,2001,285331.0,2355374,166068,806280,1383026,2344564,1256013,634842,100439.0,278832,267909.0,21001.326369307873,0.8128483049094519,0.24224400730620377,13.579373974169506,20241.5,7688.0348721,0.158,1719836.0,42227,30032,65180.0,0.03133333333333333
Nevada,2001,339451.0,2381897,118318,1438406,825173,2692840,1171360,734647,76426.0,575873,334853.0,18902.525743204274,0.6800923498416074,0.18679279381700317,18.791285343773133,14600.110707441712,6150.4780323999985,0.177,2098399.0,48733,32552,77485.0,0.052000000000000005
New Hampshire,2001,204721.0,1757828,76689,884225,796914,1796043,937479,486152,53143.0,166814,199429.0,14739.382857142858,0.7878169385183955,0.2937483025679177,14.189324900377672,12146.015475024486,7655.6238501,0.29100000000000004,1255517.0,44540,36820,16026.0,0.03441666666666667
New Jersey,2001,1301195.0,16854895,620507,6617681,9616707,17144456,8782754,5499870,610241.0,1466889,1297217.0,103731.62400000003,0.7802539888130252,0.306931138700447,12.978000568522418,76590.87843897352,11751.943094,0.226,8492671.0,54000,40585,240277.0,0.04275
New Mexico,2001,319524.0,2373143,327191,1691663,354289,2315182,1096488,761848,114558.0,308741,320082.0,21269.68229892196,0.7073817095856266,0.23696956106227715,15.054850770996495,18024.133954060057,6320.2464814,0.243,1831690.0,37915,24613,75983.0,0.04925
New York,2001,2856277.0,34373567,1912495,16032781,16428291,38062603,22052316,9100764,1157116.0,4579196,2610320.0,212482.05600000004,0.7745974841549007,0.28051408982480597,13.580282408522454,141764.58536811938,11886.91307,0.205,19082838.0,55375,37185,405630.0,0.04833333333333333
North Carolina,2001,1277013.0,9670620,661215,6065716,2943689,9807815,5187906,2587298,508494.0,1307270,1225681.0,84500.97752383893,0.7526464467778761,0.231407559731234,15.440035636160205,64421.079630633605,6817.0621397,0.25,8210121.999999999,42388,27759,357050.0,0.05491666666666667
North Dakota,2001,108788.0,818139,102694,301755,413690,814838,419201,218137,58449.0,57760,100028.0,8081.509714285717,0.8495262716063886,0.23240770420251897,13.175062080367264,8508.442333437111,6466.9739992,0.171,639062.0,35939,26659,13804.0,0.029333333333333333
Ohio,2001,1821546.0,16693845,956899,7088781,8648165,16282257,8001840,5327100,769489.0,1712711,1654816.0,118349.20316877853,0.7781821938913634,0.21582475556786013,15.50595878897023,115728.55937500001,8403.4116309,0.188,11387403.999999998,41941,29237,372990.0,0.043
