state,year,enroll,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,avg_attendence_elem_secd_schools,teachers_elem_secd_schools,high_school_completers_18_to_24,bachelor_completers_over_25,pupil_teacher_ratio,pub_high_school_graduates,expenditure_per_pupil,edu_expenditure_percent_gov_income,population,gdp_per_capita,state_tax_collection,income_per_capita,known_property_crimes,unemployment_rate
Virginia,2000,1132673.0,8911426,491873,3761983,4657570,9154676,4823780,2639328,347530.0,1011384,1195123.0,86977.0,0.7936644101538641,0.295,13.163422513998,65596.0,6491.04599944943,0.18100000000000002,7105816.999999999,47313,565909000.0,32713,188954.0,0.023000000000000003
Washington,2000,1003714.0,7620930,543966,4812796,2264168,7811937,3818756,2285577,350703.0,1048059,925696.0,51098.0,0.75283298074471,0.27699999999999997,19.6635876159537,57597.0,6913.59206694206,0.239,5910512.0,50063,,32839,273851.0,0.05158333333333332
West Virginia,2000,290982.0,2243151,210082,1365346,667723,2243563,1271988,672003,156775.0,129872,273277.0,20930.0,0.7820080005549521,0.14800000000000002,13.682130912565698,19437.0,7636.70992436246,0.26,1807021.0,32144,217793000.0,22280,39134.0,0.05483333333333334
Wisconsin,2000,877165.0,7848352,354829,4292527,3200996,8183251,4225688,2316000,265155.0,958597,825699.0,60165.0,0.788557505510068,0.22399999999999998,14.617734563284301,58545.0,8298.63942429384,0.195,5373999.0,41911,578120000.0,29682,153788.0,0.035416666666666666
Wyoming,2000,91883.0,787323,66085,408356,312882,769923,417424,242832,24899.0,70579,86092.0,6783.0,0.7903122626044541,0.21899999999999997,13.259619637328598,6462.0,7944.033533893969,0.364,494300.0,50814,,28966,14896.0,0.03883333333333333
Alabama,2001,728532.0,4832946,466150,2879636,1487160,5086045,2656393,1374265,426481.0,540284,702423.0,,,,,,6052.0062427,0.24,4467634.0,33312,201533000.0,25001,148080.0,0.051000000000000004
Alaska,2001,131985.0,1325498,229297,732985,363216,1402839,701053,479510,48312.0,150279,123316.0,,,,,,9997.686542200001,,633714.0,58547,400442000.0,33108,21300.0,0.06416666666666668
Arizona,2001,834387.0,5916342,580043,2729793,2606506,5858385,2538936,1701945,269157.0,1035457,834036.0,,,,,,6031.5973903,0.231,5273477.0,39170,541174000.0,26766,290893.0,0.047750000000000015
Arkansas,2001,449693.0,2974588,274406,2135281,564901,2951677,1616883,877225,153300.0,235346,422817.0,,,,,,5941.7228272,0.182,2691571.0,31685,202345000.0,23854,95359.0,0.0495
California,2001,6045030.0,53288943,4280358,31374889,17633696,52082540,26641811,14127664,2570224.0,6755895,6219160.0,,,,,,7063.1736841,0.252,34479458.0,47216,6899302000.0,33671,1132810.0,0.05433333333333334
