"location","indicator","Unit","Date","Value"
"Hawaii","Number of Property Crimes Known to Police","numbers","2010","45667"
"Hawaii","Number of Property Crimes Known to Police","numbers","2011","43874"
"Hawaii","Number of Property Crimes Known to Police","numbers","2012","43419"
"Hawaii","Number of Property Crimes Known to Police","numbers","2013","45266"
"Hawaii","Number of Property Crimes Known to Police","numbers","2014","43297"
"Hawaii","Number of Property Crimes Known to Police","numbers","2015","6005"
"Hawaii","Number of Property Crimes Known to Police","numbers","2016","12161"
"Idaho","Number of Property Crimes Known to Police","numbers","1990","37800"
"Idaho","Number of Property Crimes Known to Police","numbers","1991","40001"
"Idaho","Number of Property Crimes Known to Police","numbers","1992","41122"
"Idaho","Number of Property Crimes Known to Police","numbers","1993","38558"
"Idaho","Number of Property Crimes Known to Police","numbers","1994","42741"
"Idaho","Number of Property Crimes Known to Police","numbers","1995","47511"
"Idaho","Number of Property Crimes Known to Police","numbers","1996","44410"
"Idaho","Number of Property Crimes Known to Police","numbers","1997","44273"
"Idaho","Number of Property Crimes Known to Police","numbers","1998","41868"
"Idaho","Number of Property Crimes Known to Police","numbers","1999","36572"
"Idaho","Number of Property Crimes Known to Police","numbers","2000","37927"
"Idaho","Number of Property Crimes Known to Police","numbers","2001","37966"
"Idaho","Number of Property Crimes Known to Police","numbers","2002","39207"
"Idaho","Number of Property Crimes Known to Police","numbers","2003","39733"
"Idaho","Number of Property Crimes Known to Police","numbers","2004","38753"
"Idaho","Number of Property Crimes Known to Police","numbers","2005","38200"
"Idaho","Number of Property Crimes Known to Police","numbers","2006","34762"
"Idaho","Number of Property Crimes Known to Police","numbers","2007","33836"
"Idaho","Number of Property Crimes Known to Police","numbers","2008","31790"
"Idaho","Number of Property Crimes Known to Police","numbers","2009","31220"
"Idaho","Number of Property Crimes Known to Police","numbers","2010","31436"
"Idaho","Number of Property Crimes Known to Police","numbers","2011","32875"
"Idaho","Number of Property Crimes Known to Police","numbers","2012","31825"
"Idaho","Number of Property Crimes Known to Police","numbers","2013","30230"
"Idaho","Number of Property Crimes Known to Police","numbers","2014","30316"
"Idaho","Number of Property Crimes Known to Police","numbers","2015","6488"
"Idaho","Number of Property Crimes Known to Police","numbers","2016","6422"
"Illinois","Number of Property Crimes Known to Police","numbers","1990","565631"
"Illinois","Number of Property Crimes Known to Police","numbers","1991","583626"
"Illinois","Number of Property Crimes Known to Police","numbers","1992","523168"
"Illinois","Number of Property Crimes Known to Police","numbers","1993","300434"
"Illinois","Number of Property Crimes Known to Police","numbers","1994","307984"
"Illinois","Number of Property Crimes Known to Police","numbers","1995","228675"
"Illinois","Number of Property Crimes Known to Police","numbers","1996","233527"
"Illinois","Number of Property Crimes Known to Police","numbers","1997","231701"
"Illinois","Number of Property Crimes Known to Police","numbers","1998","226854"
"Illinois","Number of Property Crimes Known to Police","numbers","1999","213936"
"Illinois","Number of Property Crimes Known to Police","numbers","2000","199349"
"Illinois","Number of Property Crimes Known to Police","numbers","2001","190730"
"Illinois","Number of Property Crimes Known to Police","numbers","2002","188034"
"Illinois","Number of Property Crimes Known to Police","numbers","2003","184806"
"Illinois","Number of Property Crimes Known to Police","numbers","2004","177867"
"Illinois","Number of Property Crimes Known to Police","numbers","2005","167883"
"Illinois","Number of Property Crimes Known to Police","numbers","2006","166510"
"Illinois","Number of Property Crimes Known to Police","numbers","2007","149018"
"Illinois","Number of Property Crimes Known to Police","numbers","2008","259136"
"Illinois","Number of Property Crimes Known to Police","numbers","2009","353347"
"Illinois","Number of Property Crimes Known to Police","numbers","2010","349064"
"Illinois","Number of Property Crimes Known to Police","numbers","2011","344468"
"Illinois","Number of Property Crimes Known to Police","numbers","2012","332706"
"Illinois","Number of Property Crimes Known to Police","numbers","2013","296048"
"Illinois","Number of Property Crimes Known to Police","numbers","2014","267385"
"Illinois","Number of Property Crimes Known to Police","numbers","2015","15715"
"Illinois","Number of Property Crimes Known to Police","numbers","2016","17017"
"Indiana","Number of Property Crimes Known to Police","numbers","1990","174688"
"Indiana","Number of Property Crimes Known to Police","numbers","1991","186385"
"Indiana","Number of Property Crimes Known to Police","numbers","1992","188705"
"Indiana","Number of Property Crimes Known to Police","numbers","1993","177980"
"Indiana","Number of Property Crimes Known to Police","numbers","1994","177505"
"Indiana","Number of Property Crimes Known to Police","numbers","1995","178752"
"Indiana","Number of Property Crimes Known to Police","numbers","1996","180798"
"Indiana","Number of Property Crimes Known to Police","numbers","1997","182692"
"Indiana","Number of Property Crimes Known to Police","numbers","1998","175148"
"Indiana","Number of Property Crimes Known to Police","numbers","1999","159401"
"Indiana","Number of Property Crimes Known to Police","numbers","2000","167958"
"Indiana","Number of Property Crimes Known to Police","numbers","2001","181362"
"Indiana","Number of Property Crimes Known to Police","numbers","2002","181623"
"Indiana","Number of Property Crimes Known to Police","numbers","2003","185379"
"Indiana","Number of Property Crimes Known to Police","numbers","2004","192505"
"Indiana","Number of Property Crimes Known to Police","numbers","2005","195361"
"Indiana","Number of Property Crimes Known to Police","numbers","2006","196099"
"Indiana","Number of Property Crimes Known to Police","numbers","2007","194325"
"Indiana","Number of Property Crimes Known to Police","numbers","2008","195431"
"Indiana","Number of Property Crimes Known to Police","numbers","2009","199907"
"Indiana","Number of Property Crimes Known to Police","numbers","2010","199274"
"Indiana","Number of Property Crimes Known to Police","numbers","2011","206016"
"Indiana","Number of Property Crimes Known to Police","numbers","2012","197994"
"Indiana","Number of Property Crimes Known to Police","numbers","2013","187472"
"Indiana","Number of Property Crimes Known to Police","numbers","2014","174776"
"Indiana","Number of Property Crimes Known to Police","numbers","2015","17990"
"Indiana","Number of Property Crimes Known to Police","numbers","2016","12180"
"Iowa","Number of Property Crimes Known to Police","numbers","1990","104121"
"Iowa","Number of Property Crimes Known to Police","numbers","1991","0"
"Iowa","Number of Property Crimes Known to Police","numbers","1992","61842"
"Iowa","Number of Property Crimes Known to Police","numbers","1993","74284"
"Iowa","Number of Property Crimes Known to Police","numbers","1994","76940"
"Iowa","Number of Property Crimes Known to Police","numbers","1995","87716"
"Iowa","Number of Property Crimes Known to Police","numbers","1996","89004"
"Iowa","Number of Property Crimes Known to Police","numbers","1997","83478"
"Iowa","Number of Property Crimes Known to Police","numbers","1998","79501"
"Iowa","Number of Property Crimes Known to Police","numbers","1999","79508"
"Iowa","Number of Property Crimes Known to Police","numbers","2000","84001"
"Iowa","Number of Property Crimes Known to Police","numbers","2001","84539"
"Iowa","Number of Property Crimes Known to Police","numbers","2002","90224"
"Iowa","Number of Property Crimes Known to Police","numbers","2003","85155"
"Iowa","Number of Property Crimes Known to Police","numbers","2004","83253"
"Iowa","Number of Property Crimes Known to Police","numbers","2005","82986"
"Iowa","Number of Property Crimes Known to Police","numbers","2006","82353"
"Iowa","Number of Property Crimes Known to Police","numbers","2007","77248"
