"region","series","Unit","Date","Value"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1997","567955"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1998","534939"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1999","474512"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2000","426617"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2001","387812"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2002","149454"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2003","344684"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2004","379822"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2005","574984"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2006","634990"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2007","894317"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2008","604413"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2009","444061"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2010","507752"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2011","681415"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2012","625320"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2013","568632"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2014","627358"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2015","689685"
"Connecticut","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2016","719467"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1992","128737"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1993","113748"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1994","155070"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1995","193649"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1996","166021"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1997","172562"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1998","205274"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1999","232528"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2000","240319"
